categorical_name,colormap_name,cmap_n_total
PerceptuallyUniformSequential,viridis,256
PerceptuallyUniformSequential,plasma,256
PerceptuallyUniformSequential,inferno,256
PerceptuallyUniformSequential,magma,256
PerceptuallyUniformSequential,cividis,256
Sequential,Greys,256
Sequential,Purples,256
Sequential,Blues,256
Sequential,Greens,256
Sequential,Oranges,256
Sequential,Reds,256
Sequential,YlOrBr,256
Sequential,YlOrRd,256
Sequential,OrRd,256
Sequential,PuRd,256
Sequential,RdPu,256
Sequential,BuPu,256
Sequential,GnBu,256
Sequential,PuBu,256
Sequential,YlGnBu,256
Sequential,PuBuGn,256
Sequential,BuGn,256
Sequential,YlGn,256
SequentialTwo,binary,256
SequentialTwo,gist_yarg,256
SequentialTwo,gist_gray,256
SequentialTwo,gray,256
SequentialTwo,bone,256
SequentialTwo,pink,256
SequentialTwo,spring,256
SequentialTwo,summer,256
SequentialTwo,autumn,256
SequentialTwo,winter,256
SequentialTwo,cool,256
SequentialTwo,Wistia,256
SequentialTwo,hot,256
SequentialTwo,afmhot,256
SequentialTwo,gist_heat,256
SequentialTwo,copper,256
Diverging,PiYG,256
Diverging,PRGn,256
Diverging,BrBG,256
Diverging,PuOr,256
Diverging,RdGy,256
Diverging,RdBu,256
Diverging,RdYlBu,256
Diverging,RdYlGn,256
Diverging,Spectral,256
Diverging,coolwarm,256
Diverging,bwr,256
Diverging,seismic,256
Cyclic,twilight,510
Cyclic,twilight_shifted,510
Cyclic,hsv,256
Qualitative,Pastel1,9
Qualitative,Pastel2,8
Qualitative,Paired,12
Qualitative,Accent,8
Qualitative,Dark2,8
Qualitative,Set1,9
Qualitative,Set2,8
Qualitative,Set3,12
Qualitative,tab10,10
Qualitative,tab20,20
Qualitative,tab20b,20
Qualitative,tab20c,20
Miscellaneous,flag,256
Miscellaneous,prism,256
Miscellaneous,ocean,256
Miscellaneous,gist_earth,256
Miscellaneous,terrain,256
Miscellaneous,gist_stern,256
Miscellaneous,gnuplot,256
Miscellaneous,gnuplot2,256
Miscellaneous,CMRmap,256
Miscellaneous,cubehelix,256
Miscellaneous,brg,256
Miscellaneous,gist_rainbow,256
Miscellaneous,rainbow,256
Miscellaneous,jet,256
Miscellaneous,turbo,256
Miscellaneous,nipy_spectral,256
Miscellaneous,gist_ncar,256
